,0
0,0.9163331
1,0.020550191
2,0.26676303
3,0.9999931
4,0.43638778
5,0.18797716
6,0.33357063
7,0.07408586
8,0.5583844
9,0.031691343
10,0.73581886
11,0.041813523
12,0.31039247
13,0.9164194
14,0.00010022521
15,0.27935225
16,0.15530056
17,0.2975199
18,0.93719655
19,0.018679589
20,0.3857991
21,0.9993571
22,0.46228325
23,0.998518
24,0.28961682
25,0.36002344
26,0.9897517
27,0.6522241
28,0.28783214
29,0.9655493
30,0.9918559
31,0.17474443
32,0.004530251
33,0.0005710423
34,0.9846121
35,0.5430958
36,0.018283755
37,0.97011864
38,0.96254516
39,0.5916046
40,0.165209
41,0.81872344
42,0.9940968
43,0.99379635
44,0.9999454
45,0.99788713
46,0.8092671
47,0.99677074
48,0.2886305
49,0.68893915
50,0.019286841
51,0.007525623
52,0.8400024
53,0.039209336
54,0.9864566
55,0.9998554
56,0.006653726
57,0.015082538
58,0.33012247
59,0.027677089
60,0.93250585
61,0.7442075
62,0.25381607
63,0.6016221
64,0.94405544
65,0.5603347
66,0.8104696
67,0.63738745
68,0.89011514
69,0.98803294
70,0.14696348
71,0.2168642
72,0.99999976
73,0.9602406
74,0.120969236
75,0.9986898
76,3.9041042e-05
77,0.92586225
78,0.05044064
79,0.0043964386
80,0.7358316
81,0.9878759
82,0.5849538
83,0.8002819
84,0.99887073
85,0.9982271
86,0.9822132
87,0.87900305
88,0.012548596
89,0.5421592
90,0.99862516
91,0.9985708
92,0.9752277
93,0.15119395
94,0.6099377
95,0.9612121
96,0.09702352
97,0.34856898
98,0.9832486
99,0.84409165
100,0.9825083
101,0.04350233
102,0.9976309
103,0.5960599
104,0.14653924
105,0.9742047
106,0.99993145
107,0.012645811
108,0.0035321414
109,0.0025632381
110,0.9713945
111,0.99968976
112,0.0137652755
113,0.06968039
114,0.9999987
115,0.33158022
116,0.99985063
117,0.5692694
118,0.8281317
119,0.019575685
120,0.9992523
121,0.021754771
122,0.0048520565
123,0.44373208
124,0.09738308
125,0.4287555
126,0.99761415
127,0.93841994
128,0.7486885
129,0.3394402
130,0.9990252
131,0.2507379
132,0.97036505
133,0.8719902
134,0.629641
135,0.3145132
136,0.6942557
137,0.9190451
138,0.926799
139,0.99089825
140,0.012147337
141,0.8317115
142,0.53635657
143,0.9801806
144,0.11733049
145,2.9802322e-07
146,0.37383223
147,0.79303813
148,0.16450712
149,0.8896511
150,0.23751163
151,0.20827326
152,0.06277332
153,0.039990485
154,0.824119
155,0.36493328
156,0.00017184019
157,0.23379284
158,0.42623883
159,0.01077649
160,0.8390876
161,0.32658178
162,0.00037175417
163,0.796755
164,0.075433016
165,0.008402258
166,0.9999292
167,0.9988029
168,0.24069491
169,0.96700305
170,0.99286616
171,0.55670696
172,0.9925474
173,0.80708873
174,0.99975705
175,0.94388306
176,0.00029075146
177,0.0005174279
178,0.15287662
179,0.91326815
180,0.99897563
181,0.437789
182,0.0019288659
183,0.99824154
184,0.86778283
185,0.6880439
186,0.08360174
187,0.8038151
188,0.013238996
189,0.97978485
190,0.23988509
191,0.08189279
192,0.63180894
193,0.87778425
194,0.07253283
195,0.17029354
196,0.99805856
197,0.9948021
198,0.99386954
199,0.99536026
200,0.06832683
201,0.042471707
202,0.0038546622
203,0.070097
204,0.34859115
